"District","Date","County","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Wells ISD","2020-09-20","Angelina,Cherokee,Houston,Nacogdoches",37909,267,231,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,1,1
"Childress ISD","2020-09-20","Childress,Cottle,Foard,Hall,Hardeman",38901,1006,937,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Henrietta ISD","2020-09-20","Archer,Clay,Wichita",39902,921,780,NA,NA,NA,NA,NA,NA,NA,0,3,7,2,1,1,10
"Petrolia Cisd","2020-09-20","Clay,Wichita",39903,441,439,0,0,0,1,0,1,0,0,0,1,1,0,2,0
"Bellevue ISD","2020-09-20","Clay,Montague",39904,136,128,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Midway ISD","2020-09-20","Archer,Clay,Jack",39905,132,131,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0
"Morton ISD","2020-09-20","Bailey,Cochran",40901,354,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whiteface Cisd","2020-09-20","Bailey,Cochran,Hockley,Lamb,Terry,Yoakum",40902,343,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronte ISD","2020-09-20","Coke,Runnels,Tom Green",41901,245,233,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Robert Lee ISD","2020-09-20","Coke,Mitchell,Nolan,Sterling,Tom Green",41902,256,247,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Coleman ISD","2020-09-20","Brown,Callahan,Coleman,Runnels,Taylor",42901,843,776,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,3,1
"Santa Anna ISD","2020-09-20","Brown,Coleman,McCulloch",42903,265,248,NA,NA,NA,NA,NA,NA,NA,0,2,6,0,0,8,0
"Panther Creek Cisd","2020-09-20","Coleman,Concho,McCulloch,Runnels",42905,157,127,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Imagine International Academy Of North Texas","2020-09-20","Collin",43801,1440,383,0,1,1,0,0,2,0,1,1,1,1,0,3,1
"Lone Star Language Academy","2020-09-20","Collin",43802,210,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen ISD","2020-09-20","Collin",43901,21539,10558,0,2,13,4,0,0,19,5,4,48,13,0,0,70
"Anna ISD","2020-09-20","Collin,Grayson",43902,3930,2838,NA,NA,NA,NA,NA,NA,NA,0,0,4,4,0,0,8
"Celina ISD","2020-09-20","Collin,Denton,Grayson",43903,2973,2360,NA,NA,NA,NA,NA,NA,NA,4,12,56,24,2,55,39
"Farmersville ISD","2020-09-20","Collin,Hunt",43904,1904,1521,NA,NA,NA,NA,NA,NA,NA,0,3,4,1,0,8,0
"Frisco ISD","2020-09-20","Collin,Denton",43905,554,268,5,4,17,6,0,0,32,22,10,110,43,0,0,185
"Mckinney ISD","2020-09-20","Collin",43907,23271,15219,3,1,6,3,0,1,12,20,9,50,11,0,11,79
"Melissa ISD","2020-09-20","Collin",43908,4017,2968,1,0,0,2,0,3,0,3,2,12,11,0,22,6
"Plano ISD","2020-09-20","Collin,Dallas",43910,50066,15174,9,6,13,12,0,19,21,40,22,66,49,0,80,97
"Princeton ISD","2020-09-20","Collin",43911,5774,3980,3,4,4,4,1,7,7,5,8,21,14,3,29,16
"Prosper ISD","2020-09-20","Collin,Denton",43912,19012,12578,2,0,9,4,0,0,15,17,22,85,31,0,18,137
"Wylie ISD","2020-09-20","Collin,Dallas,Rockwall",43914,17465,9095,NA,NA,NA,NA,NA,NA,NA,6,7,43,28,2,23,59
"Blue Ridge ISD","2020-09-20","Collin,Fannin,Hunt",43917,896,812,0,0,3,1,0,0,4,2,0,3,8,0,2,11
"Community ISD","2020-09-20","Collin,Hunt,Rockwall",43918,2723,1675,0,3,1,6,0,2,8,0,11,27,16,2,21,31
"Lovejoy ISD","2020-09-20","Collin",43919,4192,2224,NA,NA,NA,NA,NA,NA,NA,1,0,11,5,1,6,10
"Wellington ISD","2020-09-20","Childress,Collingsworth,Donley,Hall,Wheeler",44902,537,522,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Columbus ISD","2020-09-20","Austin,Colorado,Fayette",45902,1510,1075,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,0,4,1
"Rice Cisd","2020-09-20","Austin,Colorado,Lavaca,Wharton",45903,1235,833,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,1,2
"Weimar ISD","2020-09-20","Colorado,Fayette,Lavaca",45905,613,583,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,3,1
"Trinity Charter School","2020-09-20","Comal",46802,389,360,0,1,13,0,12,1,1,0,1,13,0,12,1,1
"New Braunfels ISD","2020-09-20","Comal,Guadalupe",46901,9247,5757,0,1,6,4,0,0,11,5,2,28,11,3,22,21
"Comal ISD","2020-09-20","Bexar,Blanco,Comal,Guadalupe,Hays,Kendall",46902,25214,15285,1,0,11,2,1,13,0,15,4,47,20,1,39,46
"Comanche ISD","2020-09-20","Brown,Comanche,Erath,Mills",47901,1381,1256,NA,NA,NA,NA,NA,NA,NA,2,2,9,10,0,22,1
"De Leon ISD","2020-09-20","Comanche,Eastland,Erath",47902,740,717,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1
"Gustine ISD","2020-09-20","Comanche,Hamilton",47903,148,140,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,0,2,2
"Sidney ISD","2020-09-20","Brown,Comanche",47905,146,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eden Cisd","2020-09-20","Concho,Menard,Schleicher,Tom Green",48901,232,199,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,1,2
"Paint Rock ISD","2020-09-20","Coleman,Concho,Runnels,Tom Green",48903,246,203,NA,NA,NA,NA,NA,NA,NA,1,0,3,4,2,2,4
"Gainesville ISD","2020-09-20","Cooke",49901,3026,2473,1,2,1,2,0,6,0,9,8,18,19,0,27,27
"Muenster ISD","2020-09-20","Cooke,Montague",49902,523,489,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,0,1,4
"Valley View ISD","2020-09-20","Cooke,Denton",49903,889,681,0,0,3,1,0,1,3,0,0,5,2,0,3,4
"Callisburg ISD","2020-09-20","Cooke,Grayson",49905,1116,972,0,0,0,1,0,0,1,0,2,2,1,0,2,3
"Era ISD","2020-09-20","Cooke,Denton,Montague",49906,479,459,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Lindsay ISD","2020-09-20","Cooke",49907,484,466,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,0,1,6
"Walnut Bend ISD","2020-09-20","Cooke",49908,59,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivells Bend ISD","2020-09-20","Cooke",49909,48,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evant ISD","2020-09-20","Coryell,Hamilton,Lampasas",50901,241,205,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Gatesville ISD","2020-09-20","Bell,Bosque,Coryell,McLennan",50902,2779,2228,0,0,2,0,0,1,1,3,1,5,5,0,7,7
"Oglesby ISD","2020-09-20","Coryell,McLennan",50904,186,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonesboro ISD","2020-09-20","Bosque,Coryell,Hamilton",50909,316,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Copperas Cove ISD","2020-09-20","Bell,Burnet,Coryell,Lampasas",50910,8006,4808,0,0,3,1,0,4,0,4,3,6,8,1,18,2
"Paducah ISD","2020-09-20","Childress,Cottle,Dickens,Foard,Hall,King,Motley",51901,186,143,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"Crane ISD","2020-09-20","Crane,Crockett,Ector,Pecos,Upton,Ward",52901,1096,926,0,2,0,0,0,0,2,0,3,1,2,0,2,4
"Crockett County Consolidated Csd","2020-09-20","Crane,Crockett,Irion,Pecos,Reagan,Schleicher,Sutton,Terrell,Upton,Val Verde",53001,763,752,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,3,0
"Crosbyton Cisd","2020-09-20","Crosby,Dickens,Floyd,Garza,Kent,Motley",54901,324,316,0,0,1,1,0,2,0,0,1,3,2,0,6,0
"Lorenzo ISD","2020-09-20","Crosby,Floyd,Garza,Hale,Lubbock,Lynn",54902,236,212,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Ralls ISD","2020-09-20","Crosby,Floyd,Garza",54903,457,425,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,1,0,4
"Culberson County-Allamoore ISD","2020-09-20","Culberson,Hudspeth,Jeff Davis,Reeves",55901,386,265,0,0,0,5,0,5,0,0,1,0,10,0,11,0
"Dalhart ISD","2020-09-20","Dallam,Hartley",56901,1668,1546,NA,NA,NA,NA,NA,NA,NA,2,0,7,5,0,2,12
"Texline ISD","2020-09-20","Dallam,Hartley",56902,197,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pegasus School Of Liberal Arts And Sciences","2020-09-20","Dallas",57802,503,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uplift Education","2020-09-20","Dallas",57803,21761,4871,NA,NA,NA,NA,NA,NA,NA,6,6,9,4,0,5,20
"Texans Can Academies","2020-09-20","Dallas",57804,4757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lumin Education","2020-09-20","Dallas",57805,258,147,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,3,0
"Advantage Academy","2020-09-20","Dallas",57806,1197,405,0,0,1,0,0,0,1,1,0,2,5,0,3,5
"Life School","2020-09-20","Dallas",57807,5600,2178,0,0,1,3,1,2,1,4,6,13,20,11,9,23
"Universal Academy","2020-09-20","Dallas",57808,2405,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Academy","2020-09-20","Dallas",57809,123,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy Of Dallas","2020-09-20","Dallas",57810,294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinity Basin Preparatory","2020-09-20","Dallas",57813,4178,1874,1,1,0,3,0,1,4,6,4,0,17,0,5,22
"Academy For Academic Excellence","2020-09-20","Dallas",57814,294,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A W Brown Leadership Academy","2020-09-20","Dallas",57816,1343,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jean Massieu Academy","2020-09-20","Dallas",57819,197,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Academy Southeast","2020-09-20","Dallas",57827,601,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winfree Academy Charter Schools","2020-09-20","Dallas",57828,1244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A+ Academy","2020-09-20","Dallas",57829,1314,477,1,0,0,0,0,1,0,1,0,1,1,0,3,0
"Inspired Vision Academy","2020-09-20","Dallas",57830,1218,474,0,1,2,1,1,3,0,1,2,4,3,1,8,1
"Gateway Charter Academy","2020-09-20","Dallas",57831,813,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Education Center International Academy","2020-09-20","Dallas",57833,543,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolution Academy Charter School","2020-09-20","Dallas",57834,583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden Rule Charter School","2020-09-20","Dallas",57835,1561,549,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,2,0
"St Anthony School","2020-09-20","Dallas",57836,330,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Academia De Estrellas","2020-09-20","Dallas",57839,1017,53,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"Richland Collegiate High School","2020-09-20","Dallas",57840,500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cityscape Schools","2020-09-20","Dallas",57841,1208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manara Academy","2020-09-20","Dallas",57844,656,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ume Preparatory Academy","2020-09-20","Dallas",57845,1275,643,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,1
"Legacy Preparatory","2020-09-20","Dallas",57846,1530,489,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Village Tech Schools","2020-09-20","Dallas",57847,1221,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"International Leadership Of Texas (Iltexas)","2020-09-20","Dallas",57848,20793,5633,3,2,2,6,0,12,1,5,8,9,32,9,31,14
"Pioneer Technology & Arts Academy","2020-09-20","Dallas",57850,1615,996,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Bridgeway Preparatory Academy","2020-09-20","Dallas",57851,101,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carrollton-Farmers Branch ISD","2020-09-20","Collin,Dallas,Denton",57903,24701,10283,7,5,17,14,0,0,43,18,11,30,39,0,4,94
"Cedar Hill ISD","2020-09-20","Dallas,Ellis,Tarrant",57904,7290,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas ISD","2020-09-20","Collin,Dallas,Denton,Ellis,Kaufman",57905,144574,10259,NA,NA,NA,NA,NA,NA,NA,2,2,11,13,1,13,14
"Desoto ISD","2020-09-20","Dallas,Ellis",57906,8047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duncanville ISD","2020-09-20","Dallas",57907,11711,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garland ISD","2020-09-20","Collin,Dallas,Rockwall",57909,53825,18607,13,7,25,8,2,51,0,60,41,163,72,39,297,0
"Grand Prairie ISD","2020-09-20","Dallas,Tarrant",57910,28120,11823,6,5,4,0,0,15,0,17,10,18,65,2,107,1
"Highland Park ISD","2020-09-20","Dallas",57911,6622,4996,NA,NA,NA,NA,NA,NA,NA,5,4,47,4,4,53,3
"Irving ISD","2020-09-20","Dallas,Tarrant",57912,32433,12315,1,2,15,8,1,7,18,17,5,39,47,6,69,33
"Lancaster ISD","2020-09-20","Dallas,Ellis",57913,7200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesquite ISD","2020-09-20","Dallas,Kaufman",57914,38349,20859,4,5,15,17,0,0,41,20,29,72,63,3,32,149
"Richardson ISD","2020-09-20","Collin,Dallas",57916,37581,20603,4,5,15,9,0,0,33,31,27,48,49,0,1,154
"Sunnyvale ISD","2020-09-20","Dallas,Kaufman,Rockwall",57919,1982,695,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,0,2,3
"Coppell ISD","2020-09-20","Dallas,Denton,Tarrant",57922,12978,3683,2,0,11,4,7,10,0,2,4,28,19,7,46,0
"Dawson ISD","2020-09-20","Dawson,Gaines,Lynn,Terry",58902,154,135,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1
"Klondike ISD","2020-09-20","Andrews,Dawson,Gaines,Martin",58905,264,264,0,0,0,1,0,0,1,0,1,13,3,0,6,11
"Lamesa ISD","2020-09-20","Borden,Dawson,Lynn",58906,1734,1281,2,0,6,3,0,0,11,11,1,34,45,0,12,79
"Sands Cisd","2020-09-20","Borden,Dawson,Howard,Martin",58909,258,257,1,0,0,0,0,0,1,2,0,2,0,0,0,4
"Hereford ISD","2020-09-20","Castro,Deaf Smith,Parmer,Randall",59901,3876,3315,2,0,2,7,0,11,0,8,2,25,37,0,72,0
"Walcott ISD","2020-09-20","Deaf Smith,Parmer",59902,143,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper ISD","2020-09-20","Delta,Franklin,Hopkins,Hunt,Lamar,Red River",60902,811,702,3,0,0,1,0,0,4,3,0,3,3,0,2,7
"Fannindel ISD","2020-09-20","Delta,Fannin,Hunt,Lamar",60914,158,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of North Texas","2020-09-20","Denton",61501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Texas Collegiate Academy","2020-09-20","Denton",61802,631,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leadership Prep School","2020-09-20","Denton",61804,1352,520,0,1,0,2,2,1,0,0,2,2,3,2,3,2
"Trivium Academy","2020-09-20","Denton",61805,609,422,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Denton ISD","2020-09-20","Denton",61901,30214,16055,7,5,17,1,0,16,14,20,10,47,33,0,59,51
"Lewisville ISD","2020-09-20","Collin,Dallas,Denton,Tarrant",61902,49265,27385,4,3,30,18,0,0,55,21,24,159,39,0,0,243
"Pilot Point ISD","2020-09-20","Collin,Cooke,Denton,Grayson",61903,1361,1042,NA,NA,NA,NA,NA,NA,NA,1,0,15,4,0,4,16
"Krum ISD","2020-09-20","Denton,Wise",61905,2121,1660,0,0,2,0,0,0,2,0,4,10,11,0,1,24
"Ponder ISD","2020-09-20","Denton,Wise",61906,1585,1283,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,3,0
"Aubrey ISD","2020-09-20","Denton",61907,2642,2002,0,0,1,1,0,2,0,0,0,5,2,1,3,3
"Sanger ISD","2020-09-20","Cooke,Denton",61908,2545,1953,0,0,2,0,0,2,0,2,1,5,3,0,10,1
"Argyle ISD","2020-09-20","Denton",61910,3725,3017,1,0,3,1,0,1,4,2,1,11,12,0,14,12
"Northwest ISD","2020-09-20","Denton,Tarrant,Wise",61911,25235,18726,4,5,21,0,0,0,30,13,15,60,1,0,5,84
"Lake Dallas ISD","2020-09-20","Denton",61912,3910,2666,0,0,0,1,0,0,1,0,5,4,2,0,1,10
"Little Elm ISD","2020-09-20","Denton",61914,8086,4960,2,0,1,0,0,3,0,6,3,19,21,5,37,7
"Cuero ISD","2020-09-20","DeWitt,Gonzales,Victoria",62901,1973,1702,0,0,0,1,1,0,0,0,1,3,4,1,6,1
"Nordheim ISD","2020-09-20","DeWitt,Goliad,Karnes",62902,144,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoakum ISD","2020-09-20","DeWitt,Gonzales,Lavaca,Victoria",62903,1439,1341,1,0,1,0,0,1,1,4,0,19,9,0,25,7
"Yorktown ISD","2020-09-20","DeWitt,Goliad,Gonzales,Karnes",62904,542,480,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Westhoff ISD","2020-09-20","DeWitt,Gonzales",62905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyersville ISD","2020-09-20","DeWitt,Goliad,Victoria",62906,165,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spur ISD","2020-09-20","Crosby,Dickens,Floyd,Garza,Kent,King,Motley,Stonewall",63903,236,201,NA,NA,NA,NA,NA,NA,NA,0,5,16,5,5,9,12
"Patton Springs ISD","2020-09-20","Cottle,Dickens,King,Motley",63906,93,89,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Carrizo Springs Cisd","2020-09-20","Dimmit,Frio,La Salle,Maverick,Webb,Zavala",64903,2065,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarendon ISD","2020-09-20","Armstrong,Briscoe,Donley,Gray,Hall",65901,446,441,3,2,1,1,3,4,0,3,2,1,2,3,5,0
"Hedley ISD","2020-09-20","Collingsworth,Donley,Gray,Hall",65902,115,111,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,2
"Ramirez Csd","2020-09-20","Brooks,Duval,Jim Hogg,Jim Wells",66005,44,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benavides ISD","2020-09-20","Duval,Jim Hogg,Webb",66901,246,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Diego ISD","2020-09-20","Duval,Jim Wells,Live Oak,McMullen",66902,1498,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Freer ISD","2020-09-20","Duval,La Salle,McMullen,Webb",66903,767,432,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Cisco ISD","2020-09-20","Callahan,Eastland,Shackelford,Stephens",67902,845,776,0,0,3,2,0,3,2,0,0,10,8,0,13,5
"Eastland ISD","2020-09-20","Eastland,Stephens",67903,1039,909,NA,NA,NA,NA,NA,NA,NA,0,0,5,3,2,0,6
"Gorman ISD","2020-09-20","Comanche,Eastland",67904,276,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranger ISD","2020-09-20","Eastland,Erath,Palo Pinto,Stephens",67907,362,315,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,2,4,0
"Rising Star ISD","2020-09-20","Brown,Comanche,Eastland",67908,191,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Compass Academy Charter School","2020-09-20","Ector",68802,1326,1326,0,0,1,2,0,3,0,0,1,9,4,0,11,3
"Utpb Stem Academy","2020-09-20","Ector",68803,785,568,0,0,1,0,0,1,0,0,1,1,0,0,1,1
"Ector County ISD","2020-09-20","Andrews,Crane,Ector,Midland,Upton,Ward,Winkler",68901,31660,15678,7,4,9,14,3,19,12,24,18,47,75,15,122,27
"Rocksprings ISD","2020-09-20","Edwards,Kerr,Kimble,Kinney,Real,Sutton,Val Verde",69901,270,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nueces Canyon Cisd","2020-09-20","Edwards,Kinney,Real,Uvalde",69902,247,223,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Waxahachie Faith Family Academy","2020-09-20","Ellis",70801,2623,1065,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,2
"Avalon ISD","2020-09-20","Ellis,Navarro",70901,325,281,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,3,0
"Ennis ISD","2020-09-20","Ellis,Henderson,Kaufman,Navarro",70903,5832,4300,1,0,3,0,0,4,0,2,2,20,7,0,27,4
"Ferris ISD","2020-09-20","Dallas,Ellis,Kaufman",70905,2558,1385,0,0,0,2,0,1,1,0,3,11,14,0,5,23
"Italy ISD","2020-09-20","Ellis,Navarro",70907,591,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Midlothian ISD","2020-09-20","Dallas,Ellis,Johnson,Tarrant",70908,9802,7251,0,0,11,3,1,3,10,1,11,32,18,1,22,39
"Milford ISD","2020-09-20","Ellis,Hill",70909,237,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmer ISD","2020-09-20","Ellis",70910,1283,1102,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,4
"Red Oak ISD","2020-09-20","Dallas,Ellis",70911,5962,3536,0,1,4,5,2,2,6,5,6,42,26,21,29,29
"Waxahachie ISD","2020-09-20","Ellis",70912,9715,7090,1,0,1,1,0,3,0,7,1,20,10,0,30,8
"Maypearl ISD","2020-09-20","Ellis,Hill,Johnson",70915,1238,1157,0,0,0,1,0,1,0,0,1,9,2,0,9,3
"Burnham Wood Charter School District","2020-09-20","El Paso",71801,1263,498,0,0,0,1,0,0,1,0,1,0,1,0,1,1
"Triumph Public High Schools-El Paso","2020-09-20","El Paso",71803,180,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso Academy","2020-09-20","El Paso",71804,326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony Science Acad (El Paso)","2020-09-20","El Paso",71806,4150,657,0,2,1,4,2,5,0,2,6,6,16,4,26,0
"La Fe Preparatory School","2020-09-20","El Paso",71807,178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vista Del Futuro Charter School","2020-09-20","El Paso",71809,248,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso Leadership Academy","2020-09-20","El Paso",71810,208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clint ISD","2020-09-20","El Paso,Hudspeth",71901,10687,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso ISD","2020-09-20","El Paso",71902,46907,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fabens ISD","2020-09-20","El Paso",71903,2031,429,0,0,0,3,0,0,3,0,0,1,17,0,4,14
"San Elizario ISD","2020-09-20","El Paso",71904,3215,66,0,0,0,6,0,6,0,0,0,0,19,0,9,10
"Ysleta ISD","2020-09-20","El Paso",71905,38542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony ISD","2020-09-20","El Paso",71906,796,397,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,3,1
"Canutillo ISD","2020-09-20","El Paso",71907,6007,973,NA,NA,NA,NA,NA,NA,NA,0,1,3,3,0,7,0
"Tornillo ISD","2020-09-20","El Paso,Hudspeth",71908,914,371,0,0,0,2,0,2,0,1,1,0,8,0,8,2
"Socorro ISD","2020-09-20","El Paso",71909,47070,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Premier High Schools","2020-09-20","Erath",72801,6363,480,0,0,2,4,4,0,2,0,0,11,12,7,9,7
"Erath Excels Academy Inc","2020-09-20","Erath",72802,91,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three Way ISD","2020-09-20","Erath,Hood,Somervell",72901,215,210,NA,NA,NA,NA,NA,NA,NA,0,1,5,1,0,2,5
"Dublin ISD","2020-09-20","Comanche,Erath",72902,1080,938,0,0,4,1,0,5,0,0,2,22,8,0,32,0
"Stephenville ISD","2020-09-20","Erath",72903,3698,3216,1,2,9,4,0,5,11,12,9,41,20,0,21,61
"Bluff Dale ISD","2020-09-20","Erath,Hood",72904,220,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
